Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C60, C62",0201,3,1uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C3, C33, C36, C37, C50, C51, C53, C55, C58, C65, C69, C70, C8, C9",0201,22,10uF,
"C18, C19, C2, C29, C30, C34, C38, C4, C49, C5, C56, C6, C7",0201,13,100nF,
"C20, C23, C25, C71, C72",0201,5,18pF,
"C21, C22, C24, C26, C27, C28, C35, C52, C57, C59, C64, C66, C67, C68",0201,14,22uF,
"C31, C32",0201,2,6pF,
"C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",0201,10,100pF,
C54,0201,1,1nF,
C61,0201,1,220uF,
C63,0201,1,220nF,
"C73, C74, C75",0402,3,100n,
CN2,CONN-SMD_1.25T-2P,1,1.25mm-2P socket,C43462
D1,SOD-123_L2.7-W1.6-LS3.7-RD,1,1N5819HW-7-F,C82544
FPC1,FPC-SMD_05A20L26P,1,05A20L26P,C25503114
FPC3,FPC-SMD_FH12-40S-0.5SH-55,1,FH12-40S-0.5SH(55),C202114
FPC4,FPC-SMD_FH12-6S-0.5SH-55,1,FH12-6S-0.5SH(55),C202118
"H1, H2, H3, H4","Hole, 3mm",4,~,
IC1,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,TROPIC01_chip,
"L1, L2, L6",L0402,3,CBW100505U601T,C124083
"L3, L4, L5",0805,3,2.2uH,
"LED1, LED2",LED0603-RD,2,KT-0603R,C2286
Q1,Q_SOT-23,1,S8050,C364312
"R1, R6",0201,2,300k 1%,
"R10, R9",0201,2,2K,
"R11, R18, R21, R41",0201,4,0R,
R12,0201,1,5.1R,
"R13, R14, R57, R58, R67, R68, R69, R70, R71, R72, R73, R74",0201,12,100R,
"R15, R16, R17, R28, R29, R44, R54",0201,7,10K,
"R19, R20, R22, R23, R27, R40, R55",0201,7,NC,
"R2, R3, R5",0201,3,150k 1%,
"R24, R25, R26, R30, R31, R53, R56",0201,7,5.1K,
"R34, R35, R36, R37, R38, R39, R46, R49",0201,8,1.5K,
R4,0201,1,680k 1%,
R42,0201,1,200K,
R43,0402,1,47k,
R45,0201,1,1.5,
"R47, R48, R50, R51, R52",0201,5,22R,
R7,0201,1,12K,
R8,0201,1,1M,
"SW1, SW2, SW3, SW4, SW5",SW-SMD_E-SWITCH_TL3330,5,TL3330AF130QG,C2886885
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint_Small,
U1,BGA-144_L8.0-W8.0-R12-C12-P0.65-BL,1,K210_C913414,C913414
U10,QFN-32_L5.0-W5.0-P0.50-TL-EP3.5-1,1,AXP173_C3345106,C3345106
U11,WQFN-28_L4.0-W4.0-P0.40-BL-EP,1,GD32F150G8U6,C84216
U12,PCIE-SMD_75P-P0.50_HYC01B-05NGFF-420,1,PCIE-67P42H,C19188865
U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MT9700,C89855
U3,SSOT-3_L2.9-W1.6-P0.95-LS2.8-BR,1,XC6206-3.3V,C2891841
U4,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,XC6206P182MR_C347373,C347373
U5,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,GD25LQ128EWIGR,C2928889
U6,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,1,TMI7003C,C840566
U7,SOT-23-3_L2.9-W1.5-P1.90-LS2.6-BR,1,SGM803-TXN3/TR_C5152602,C5152602
U8,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,XC6206P302MR_C347375,C347375
U9,TF-SMD_HX-TF-CARD-XG8P-H1.5,1,HX TF-CARD XG8P H1.5,C19189039
USB1,USB-C-SMD_HYCW412-USBC16-065B,1,HYCW412-USBC16-065B,C5342196
"X1, X2",CRYSTAL-SMD_4P-L3.2-W2.5-BL,2,X322526MMB4SI,C15192
