Designator,Mid X,Mid Y,Rotation,Layer
C1,111.72,-106.7,0.0,top
C10,117.3,-108.5,0.0,top
C11,117.3,-109.4,0.0,top
C12,107.2,-120.9,0.0,top
C13,98.8,-118.8,0.0,top
C14,95.8,-112.9,90.0,top
C15,106.7,-119.8,0.0,top
C16,98.5,-117.7,0.0,top
C17,96.9,-114.0,270.0,top
C18,103.2,-120.1,270.0,top
C19,101.9,-120.08,270.0,top
C2,118.3,-110.6,180.0,top
C20,102.7,-113.5,90.0,top
C21,103.2,-108.5,270.0,top
C22,102.3,-108.5,270.0,top
C23,123.8,-107.7,270.0,top
C24,115.5,-115.8,0.0,top
C25,122.8,-95.6,90.0,top
C26,123.9,-96.1,90.0,top
C27,122.7,-100.5,90.0,top
C28,123.65,-100.5,90.0,top
C29,98.4,-142.9,270.0,top
C3,118.9,-107.7,270.0,top
C30,97.5,-142.9,270.0,top
C31,96.6,-142.9,270.0,top
C32,95.7,-142.9,270.0,top
C33,94.8,-142.9,270.0,top
C34,93.9,-142.9,270.0,top
C35,93.0,-142.9,270.0,top
C36,92.1,-142.9,270.0,top
C37,114.4,-158.1,180.0,top
C38,119.4,-158.1,180.0,top
C39,104.7,-143.0,270.0,top
C4,100.3,-110.5,180.0,top
C40,102.9,-143.0,270.0,top
C41,117.5,-140.3,270.0,top
C42,118.5,-140.3,90.0,top
C43,96.1,-133.7,270.0,top
C44,136.4,-103.5,90.0,top
C45,132.14,-108.8,180.0,top
C46,130.24,-103.7,90.0,top
C47,101.1,-170.1,270.0,top
C48,102.8,-170.1,270.0,top
C49,104.1,-170.1,270.0,top
C5,100.3,-109.6,180.0,top
C50,100.0,-170.6,270.0,top
C51,99.1,-170.6,270.0,top
C52,97.2,-170.7,0.0,top
C53,99.7,-161.1,90.0,top
C54,98.8,-161.1,270.0,top
C55,100.8,-160.6,90.0,top
C56,102.1,-160.6,90.0,top
C57,94.0,-167.3,270.0,top
C58,97.2,-172.0,0.0,top
C59,90.0,-160.2,270.0,top
C6,100.3,-108.7,180.0,top
C60,126.6,-102.7,180.0,top
C62,124.9,-111.6,0.0,top
C63,90.2,-157.3,0.0,top
C66,103.2,-161.1,270.0,top
C69,94.5,-160.7,270.0,top
C7,100.3,-107.8,180.0,top
C70,97.7,-160.6,270.0,top
C71,109.4,-118.8,180.0,top
C72,109.4,-117.9,180.0,top
C76,94.2,-115.8,180.0,top
C77,131.8,-175.0,270.0,top
C78,94.2,-114.9,180.0,top
C79,130.6,-175.0,270.0,top
C8,117.3,-106.7,0.0,top
C80,94.2,-114.0,180.0,top
C81,94.2,-113.1,180.0,top
C9,117.3,-107.6,0.0,top
CN2,93.2,-96.2,180.0,top
CN3,88.7,-166.4,90.0,top
D1,92.5,-163.75,90.0,top
FPC1,109.615,-101.1625,180.0,top
FPC3,108.665,-149.08375,180.0,top
FPC4,116.915,-161.17875,180.0,top
H1,134.5,-92.7,0.0,top
H2,84.2,-92.7,0.0,top
H3,84.2,-182.9,0.0,top
H4,134.5,-182.9,0.0,top
IC1,133.36,-105.69,90.0,top
L1,102.8,-110.0,180.0,top
L2,128.4,-98.3,270.0,top
L3,99.4,-120.4,0.0,top
L4,101.1,-113.2,270.0,top
L6,102.72,-106.9,180.0,top
L8,104.8,-120.3,90.0,top
Q1,107.2,-140.0,270.0,top
R1,98.9,-116.6,0.0,top
R10,103.3,-144.9,90.0,top
R11,104.2,-144.9,90.0,top
R12,106.1,-144.3,90.0,top
R13,107.4,-137.5,180.0,top
R14,121.9,-144.5,90.0,top
R15,115.4,-140.3,270.0,top
R16,121.0,-142.6,270.0,top
R17,117.4,-158.1,0.0,top
R18,116.4,-144.5,90.0,top
R19,121.9,-142.8,270.0,top
R2,99.5,-115.5,0.0,top
R20,121.0,-144.3,90.0,top
R21,117.3,-144.5,90.0,top
R22,115.533809,-144.273767,90.0,top
R23,118.165,-144.292226,90.0,top
R24,85.9,-109.3,0.0,top
R25,85.7,-100.7,0.0,top
R26,111.4,-161.4,0.0,top
R27,120.165,-144.292226,90.0,top
R28,96.1,-135.6,90.0,top
R29,128.9,-106.7,90.0,top
R3,99.7,-114.1,270.0,top
R30,112.5,-178.2,0.0,top
R31,117.6,-178.2,180.0,top
R32,126.1,-163.7,90.0,top
R33,127.8,-162.0,90.0,top
R34,102.8,-168.1,180.0,top
R35,110.4,-159.5,0.0,top
R36,110.4,-160.5,0.0,top
R37,96.6,-132.3,180.0,top
R38,90.8,-170.9,270.0,top
R39,96.6,-161.1,270.0,top
R4,117.3,-111.5,0.0,top
R40,85.4,-119.72141,0.0,top
R42,85.5,-120.9,0.0,top
R45,106.7,-118.9,0.0,top
R46,116.8,-104.95,0.0,top
R47,116.4,-140.3,90.0,top
R48,119.3,-144.5,90.0,top
R5,97.8,-114.0,270.0,top
R54,94.8,-145.7,90.0,top
R55,95.7,-145.7,90.0,top
R56,96.6,-145.7,90.0,top
R57,93.9,-145.7,90.0,top
R58,93.0,-145.7,90.0,top
R59,92.1,-145.7,90.0,top
R6,106.7,-118.0,0.0,top
R60,98.4,-145.7,90.0,top
R61,97.5,-145.7,90.0,top
R7,120.4,-106.1,0.0,top
R8,116.8,-104.1,0.0,top
R9,114.2,-144.4,90.0,top
SW1,82.06,-153.2,270.0,top
SW2,82.06,-162.7,270.0,top
SW3,82.6,-101.6,270.0,top
SW4,82.6,-110.9,270.0,top
SW5,82.6,-120.2,270.0,top
U1,109.12,-111.82,90.0,top
U10,97.665,-165.89375,270.0,top
U11,120.9,-111.4,0.0,top
U12,111.4,-128.1,180.0,top
U13,128.5,-169.5,90.0,top
U3,111.8,-139.2,90.0,top
U4,126.2,-96.42,0.0,top
U5,119.393125,-117.269375,0.0,top
U6,102.78625,-116.81375,0.0,top
U7,93.4,-170.5,90.0,top
U8,126.15,-100.22,0.0,top
U9,88.149832,-133.2875,270.0,top
USB1,114.915,-182.515,0.0,top
X1,121.3,-108.2,180.0,top
